id,fecha,cuenta,texto,sustantivos,adjetivos,verbos,personas,organizaciones,lugares,matcheos
1615914454398689280,2023-01-19,Javier Milei,"""Ayer el Bono q hoy @SergioMassa anunció que va a recomprar operó su máximo volumen histórico.\nTraduzco: el criminal que oficia de Ministro d Economía le avisó a sus amigos lo q pensaba hacer\nSi qeres comprar algo, lo compras primero y lo anuncias después. Nunca antes, a menos q.. https://t.co/aBEfFexLY3""","volumen-76,criminal-109,amigo-167,comprar-220,anunciar-241","máximo-69,histórico.\ntraduzco-84","anunciar-33,recomprar-50,operar-60,avisar-155,comprar-203","Bono-9,hacer\nSi-187","",Ministro d Economía-132,criminal
1615506589535936512,2023-01-18,Javier Milei,"""""Si los impuestos sin consentimiento no es robo, entonces cualquier banda de ladrones sólo tiene que declararse a sí mismos ""Gobierno"", y todos sus robos serían legalizados.""\n\nLysander Spooner-""","impuesto-9,consentimiento-23,robar-44,banda-69,ladrón-78,robo-149",legalizar-162,"tener-92,declararse-102","","","",robo
1615505737970552833,2023-01-18,Javier Milei,"""""La falsificación de moneda, por tanto, es inflacionaria, tiene un efecto de distribución, distorsiona el sistema económico y equivale a un sigiloso y malicioso robo y a la expropiación a todos los legítimos propietarios de la sociedad.""\n\nMurray Rothbard-""","falsificación-5,monedar-22,inflacionario-44,efecto-68,distribución-78,sistema-107,robar-162,expropiación-174,propietario-209,sociedad-228","económico-115,sigiloso-141,malicioso-152,legítimo-199","tener-59,distorsionar-92,equivaler-127","","","",robo
1615476751593017345,2023-01-17,Javier Milei,"""El crimen de Lucio Dupuy no ha tenido el repudio de este colectivo\nSu acción hace que desafortunadamente se crea que avalen tan desquiciado asesinato de una criatura por el odio que generaron https://t.co/Yewy5psLeK""","crimen-4,repudiar-42,acción-72,asesinato-142,criatura-159,odiar-175",desquiciar-130,"tener-32,hacer-79,creer-110,avalar-119,generar-184",Lucio Dupuy-14,"","",crimen
1615310668864831496,2023-01-17,Javier Milei,"""Si la belleza fuese un crimen, a él hace mucho tiempo lo hubiesen sentenciado a cadena perpetua. #Milei \nMI PRESIDENTE♥️🔥 https://t.co/6mLdyvK3f5""","belleza-7,crimen-24,tiempo-48,https://t.co/6mldyvk3f5-124","","ser-15,sentenciar-67","","","",crimen
1615310195823095814,2023-01-17,Javier Milei,"""Reminder:\n\nLos socialistas no odian la riqueza sino que envidian a los que que la crean. Aman tanto la riqueza que al robo lo llamaron ""justicia social"" para saquear serialmente lo ajeno.""","socialista-18,riqueza-42,riqueza-106,robar-121,justicia-139,serialmente-169","social-148,ajeno-184","creer-85,llamar-129,saquear-161",Aman-92,"","",robo
1614974860836601856,2023-01-16,Javier Milei,"""@Maxiloaces @agustinromm Parece que tenés un problemitas...\nSoy partidario del libre mercado. Lo que propone TONGOLINI es una aberración.\nEso no quita que EC no sea partidaria de los mismos conceptos que impulsan dicha violencia. De hecho, ella es la dueña de la ley de góndola?\nEstás a favor del control?""","problemitas-46,\nsoy-60,mercar-87,aberración.\neso-128,concepto-193,violencia-222,dueño-254,ley-266,control-301","partidario-66,librar-81,partidario-168,decir-216","parece-26,tenés-37,proponer-103,quito-148,ser-164","",EC-158,"",violencia
1614968953499156481,2023-01-16,Javier Milei,"""Lo dice la mentora de la ley de góndola y que siempre ha sido partidaria de la violencia estatal controlando precios y destruyendo la propiedad privada (igual que Vidal, Larreta, Morales, Guga y otros). Parece que la violencia es buena si es ella quien la ejerce.\nSON LO MISMO https://t.co/t8Y2YNsMBK""","mentor-12,ley-26,góndola-33,violencia-80,precio-110,propiedad-135,violencia-218,ejerce.\nson-257","partidario-63,estatal-90,privar-145,igual-154,bueno-231","decir-4,ser-58,controlar-98,destruir-120,parece-204","góndola-33,Vidal-164,Larreta-171,Morales-180,Guga-189","","",violencia
1614834153635069952,2023-01-16,Javier Milei,"""Además, el uso de la violencia y arruinar la propiedad privada a lo largo de la historia no ha funcionado...\nEn el fondo, un lamentable tweet del secretario de comercio. Tombolini siendo más TONGOlini que nunca...""","usar-12,violencia-22,propiedad-46,historia-81,fondo-117,tweet-138,secretario-148,comerciar-162","privar-56,lamentable-127,tongolini-193","arruinar-34,funcionar-96",Tombolini-172,"","",violencia
1614748049720360962,2023-01-15,Javier Milei,"""El cinismo de Putin es ilimitado. Envía sus condolencias por las víctimas del avion  caído en Nepal, mientras bombardea edificios de civiles en Ucrania, matando niños y ancianos sin compasión. Verdadero criminal . Sin perdon""","cinismo-4,condolencia-45,víctima-66,avion-79,edificio-121,civil-134,niño-162,anciano-170,compasión-183,perdon-219","ilimitado-24,caer-86,verdadero-194,criminal-204","envía-35,bombardear-111,matar-154","Putin-15,Envía-35","","Nepal-95,Ucrania-145",criminal
1614350383018659840,2023-01-14,Javier Milei,"""...individuales confluyen en una meta común donde todos se necesitan y se generan rendimientos crecientes, algo imposible en soledad.\nQuien quiera sacrificar lo individual por lo colectivo, va contra nuestra naturaleza, destroza incentivos y probablemente quiera también robarte.""","meter-34,rendimiento-83,naturaleza-210,incentivo-231","individual-4,común-39,creciente-96,imposible-113,individual-163,colectivo-181","querer-142,sacrificar-149,ir-192,destrozar-222,querer-258,robarte-273","","","",robar
1614273862161797120,2023-01-14,Javier Milei,"""""Las mejores mentes no están en el Gobierno. Si hubiera alguna, el sector privado se las robaría"" .\n\nRonald Reagan""","mente-14,sector-68","mejorar-6,privar-75","estar-24,haber-49,robar-90",Reagan-111,"",Gobierno-36,robar
1614239286076874752,2023-01-14,Javier Milei,"""Mirá @NYGBertie creo que es un buen momento para recordar, al mayor rugbier asesino, cuyos crímenes quedaron impunes. ERNESTO “El Che” GUEVARA LYNCH https://t.co/0HYNVaQ0Um""","momento-37,crimen-92","bueno-32,mayor-63,asesinar-77,impune-110","mirá-1,creer-17,recordar-50,quedar-101","","","",crímenes
1614238406573260800,2023-01-14,Javier Milei,"""En Oxford el council decidió contra la voluntad de sus ciudadanos probar esas ""ciudades de 15 minutos"" dividiendo la ciudad en 6 zonas y prohibir la circulación fuera de tu zona \n\nLa gente se harto y empezaron a romper todo \n\nLarreta está en la misma, ver abajo: https://t.co/WEsflWWYmQ""","council-14,voluntad-40,ciudadano-56,ciudad-80,minuto-95,ciudad-118,zona-130,circulación-150,zona-174,gente-186","hartar-195,\n\nlarreta-227,https://t.co/wesflwwymq-268","decidir-22,probar-67,dividir-104,prohibir-138,empezar-203,romper-215,ver-257",https://t.co/WEsflWWYmQ-268,"",Oxford-4,robar
1614234289884758018,2023-01-14,Javier Milei,"""🇻🇪 | Maduro prometió aumentos salariales a los trabajadores públicos y no cumplió. En su lugar detuvo a 9 trabajadores por protestar los salarios de miseria que les paga el régimen.\n\nSocialismo: te pagamos 7 dólares al mes y si te quejas vas a la cárcel. ""Justicia social"".""","🇪-2,aumento-22,trabajador-48,lugar-90,trabajador-107,salario-138,miseria-150,régimen.\n\nsocialismo-174,dólar-211,mes-222,quejar-234,cárcel-250","salarial-31,público-61,social-268","prometer-13,cumplir-75,detener-96,protestar-124,pagar-166,pagar-201,ir-241",| Maduro-4,"","",cárcel
1614045248963112961,2023-01-13,Javier Milei,"""A ver gente. Me cabe Milei. No digo que es perfecto. No digo que les guste a ustedes. Elijan ustedes. Me cabe su onda y punto. A ver si cortan la agresividad y el odio porque yo diga en público que me cae bien. Es mí vida. Dejen de jorobar""","gente-7,onda-114,punto-121,agresividad-147,odiar-164,vida-218",perfecto-44,"ver-3,caber-17,decir-32,decir-57,gustar-70,elijan-87,caber-106,ver-130,decir-179,caer-202,dejen-224,jorobar-233","","","",robar
1613951889057484824,2023-01-13,Javier Milei,"""En el fondo el debate tiene tres dimensiones.\nEl debate moral, donde robar está mal.\nUno técnico, en el cual se muestra en las líneas precedentes que eliminar al BCRA es factible. No es mi culpa la ignorancia de otros.\nY uno político, donde los políticos chorros dejen de robar.""","fondo-7,debatir-16,dimensiones.\nel-34,debatir-51,líneo-130,culpar-192,ignorancia-201,chorro-259","moral-58,técnico-92,precedente-137,factible-173,político-229,político-249","tener-23,robar-71,mostrar-115,eliminar-153,dejar-267,robar-276","",BCRA-165,"",robar
